Judul,Penulis,Pembimbing 1,Pembimbing 2,Abstrak,Prodi
“PELAKSANAAN PERLINDUNGAN DAN PELESTARIAN CAGAR BUDAYA DI KABUPATEN SUMENEP”," AINUR MALIK LUBIS, S.H."," Dr. M. Amir Hamzah, S.H, M.H.","Prof. Dr. Nunuk Nuswardani, S.H, M.H.","Dalam penulisan tesis ini yang menjadi titik berat pembahasan yakni permasalahan Pelaksanaan Perlindungan dan Pelestarian Cagar Budaya  di Kabupaten Sumenep. Hal ini dilatarbelakangi oleh permasalahan yang timbul di Kabupaten Sumenep yakni dalam hal Pelaksanaan Perlindungan dan Pelestarian Cagar Budaya di Kabupaten Sumenep yang menyikapi Pemerintah Daerah serta peran serta masyarakat dalam pelaksanaan perlindungan dan pelestarian cagar budaya, dengan terbentuknya Peraturan Daerah di Kabupaten Sumenep Nomor 6 tahun 2014 tentang Pelestarian Cagar Budaya dan melaksanakan tugas dan wewenangnya sesuai dengan Peraturan Perundang-Undangan Nomor 11 tahun 2010 tentang Cagar Budaya.
Dalam penulisan ini terdapat tujuan dari penulis dalam melakukan penelitian ini yakni untuk mengetahui pelaksanaan perlindungan dan pelestarian cagar budaya di Kabupaten Sumenep dan mengkaji faktor yang menghambat dalam pelaksanaan perlindungan dan pelestarian cagar budaya di Kabupaten Sumenep.
Dalam rangka menganalisa permasalahan untuk menemukan jawaban yang ingin dipecahkan, metode yang digunakan adalah metode  hukum empiris dengan dengan pendekatan yuridis sosiologis yaitu mengkaji dan membahas permasalahan-permasalahan yang diperoleh sesuai dengan fakta yang ada dilokasi yang kemudian dikaitkan dengan norma-norma hukum yang berlaku dan teori-teori hukum yang ada. 
Berdasarkan hasil penelitian, penulis memperoleh jawaban atas permasalahan diatas yaitu dalam hal pelaksanaan perlindungan dan pelestarian cagar budaya di Kabupaten Sumenep, Pemerintah Daerah kurang aktif dalam mengambil tindakan atas perlindungan dan pelestarian cagar budaya serta kurang cepat menyelamatkan cagar budaya di Kabupaten Sumenep dan adanya upaya Pemerintah Daerah dalam perlindungan dan pelestarian cagar budaya di Kabupaten Sumenep.
Menyikapi hal tersebut, maka bisa diberikan rekomendasi yaitu kepada pihak Pemerintah Daerah agar dengan segera melakukan perlindungan dan pelestarian terhadap cagar budaya yang banyak terdapat di Kabupaten Sumenep dengan cara melakukan pencarian terhadap cagar budaya di seluruh Kabupaten Sumenep baik didaerah daratan maupun dikepulauan. Selain itu pula terhadap pihak pemerintah untuk lebih aktif lagi dalam melakukan pendataan dan penyelamatan serta dengan segera dilakukan kajian oleh Tim Ahli Cagar Budaya agar dapat didaftarkannya cagar budaya tersebut, dengan tujuan untuk lebih menjamin perlindungan hukumnya, serta perlunya peran dari masyarakat untuk mendukung dan mendorong perlindungan terhadap cagar budaya di Kabupaten Sumenep
",24
"BUKU DESA SEBAGAI TANDA BUKTI HAK ATAS TANAH 
MENURUT PERATURAN PEMERINTAH NOMOR 24 TAHUN 1997 TENTANG PENDAFTARAN TANAH
"," A H M A D, S.H"," Dr. Mufarrijul Ikhwan, S.H., MHum","Dr. Indien Winarwati, S.H., MH","Pendaftaran hak atas tanah dilakukan berdasarkan Peraturan Pemerintah nomor 24 tahun 1997 tentang Pendaftara Tanah. Tanda bukti petunjuk adanya hak yang dapat dijadikan dasar sebagai alas hak dalam pendaftaran tanah untuk pertama kali dapat dilihat dalam Pasal 24 PP Pendaftaran Tanah.
  Penelitian yang digunakan dalam penulisan ini adalah penelitian hukum normatif, dengan menggunakan pendekatan Perundang-undangan ( Statute Approach ), dan pendekatan sejarah ( Historical Approach ).
Fiscaal Cadaster yang menghasilkan bukti-bukti seperti Leter C, Petuk Pajak Bumi, Pipil, Girik, dan DHKP diakui sebagai alas hak dalam PP Pendaftaran Tanah yang dapat digunakan sebagai dasar penerbitan sertipikat. Sepanjang data yang diterangkan didalamnya mengandung kebenaran, dan selama penguasaan tanah yang dimaksud tidak dipersoalkan oleh pihak lain. Undang-undang Pajak tidak mengharuskan pengenaan pajak pada pemilik tanah. Sistem publikasi yang digunakan dalam PP Pendaftaran Tanah di Indonesia adalah sistem publikasi negatif yang mengandung usur positif, sehingga sertipikat berlaku sebagai alat pembuktian yang kuat dan mutlak akan dicapai setelah 5 tahun sejak diterbitkannya sertipikat tersebut. 

Kata kunci : Pendaftara tanah, Tanda bukti hak, Kepastian hukum

",24
Kebijakan Kriminalisasi Mengkonsumsi Minuman Beralkohol dalam Rancangan Undang-Undang tentang Larangan Minuman Beralkohol, Moch. Choirul Rizal," Dr. Eny Suastuti, S.H., M.Hum.","Dr. Syamsul Fatoni, S.H., M.H.","Ratio legis kebijakan kriminalisasi mengkonsumsi minuman beralkohol dalam RUU LMB adalah sebagai berikut: (1) secara filosofis, penyusunan RUU LMB didasarkan pada tujuan pembentukan negara dan pemerintah Indonesia yang dapat dilihat dari Pembukaan Undang-Undang Dasar Negara Republik Indonesia (UUD NRI) Tahun 1945 alinea keempat; (2) secara sosiologis, mengkonsumsi minuman beralkohol menimbulkan gangguan terhadap ketertiban, ketentraman, dan keamanan masyarakat; dan (3) secara yuridis, di dalam konstitusi, setiap orang berhak mendapat perlindungan dan jaminan kesehatan sebagaimana diamanatkan dalam UUD NRI Tahun 1945, Undang-Undang Nomor 36 Tahun 2009 tentang Kesehatan, dan Undang-Undang Nomor 39 Tahun 1999 tentang Hak Asasi Manusia. Tindakan mengkonsumsi minuman beralkohol tepat untuk dijadikan sebagai tindak pidana dengan pertimbangan sebagai berikut: (1) perumusan tindak pidana mengkonsumsi minuman beralkohol telah memperhatikan tujuan pembangunan nasional, yaitu mewujudkan masyarakat adil dan makmur yang merata secara spiritual berdasarkan Pancasila. Dalam hal ini, perumusan dimaksudkan untuk menanggulangi kejahatan dan mengadakan penguatan terhadap tindakan penanggulangan itu sendiri demi kesejahteraan dan pengayoman masyarakat; (2) mengkonsumsi minuman beralkohol merupakan tindakan yang tidak dikehendaki karena merugikan dan mendatangkan korban; (3) perumusan tindak pidana mengkonsumsi minuman beralkohol ini merupakan pencapaian situasi tertib hukum dan adanya jaminan pemenuhan serta perlindungan hak asasi manusia; dan (4) jika tidak dijadikan sebagai tindak pidana, maka hal ini akan menjadi malapetaka bagi bangsa Indonesia, karena akan lebih banyak terjadi tindak pidana yang meresahkan dan merugikan masyarakat yang diakibatkan oleh minuman beralkohol.

Kata Kunci: Kebijakan Kriminalisasi, Tindak Pidana, Minuman Beralkohol.",24
Penyimpangan Terhadap Asas Unus Testis Nullus Testis dalam Pembuktian Tindak Pidana Pemerkosaan," SUYITNO, S.H."," Dr. WARTININGSIH, S.H., M.Hum.","Dr. SYAMSUL FATONI, S.H., M.H.","According to the Law of Criminal Law Article 183, the judge must not convict the defendant unless if at least two (2) valid evidence he was convinced that the defendant who did it. In connection with these laws, a post mortem as a legal evidence can be critical, especially in the case of rape and intercourse outside marriage is a crime. The examining physician should be careful, vigilant and suspicious but remain objective and impartial (as impartial). Everything was found to be noted, do not just rely on memory. Things that are not relevant to a description found but women also need to be noted.
The purpose of this paper is to investigate and analyze the use of the witnesses in the criminal offense of rape contrary evidence or not with Principle Unus testis nullus testis in criminal law as well as efforts to prove in court to clarify the suspect as a criminal rape that there is only one witness. Meanwhile, the benefits are for the benefit of a theoretical order to provide benefits to the development of the science of criminal law in Indonesia, the input data or literature for legal writing further useful for the parties concerned, while for all practical purposes, namely to be able to provide benefits for masysarakat to to understanding related to the use of one witness in proving the crime of rape, as well as efforts to prove to ensnare criminal law for rape that there is only one witness.
This thesis research method is the approach to the concept (conceptual approach) and the approach of the case (case approach). Based on the assessment through methods and approaches are then obtained the results of research that principle Unus testis nullus testis proving criminal case had to be applied. However, if in the case of rape where there is only one witness is the victim, then the principle of Unus testis nullus testis can be put aside on condition that a post mortem and expert witnesses stated that indeed there has been a criminal act of rape against the victim, then the principle of Unus testis nullus testis can set aside. Waiver Unus testis nullus testis principle is intended to achieve a justice for the suffering of victims who have been deprived by the perpetrator.

Keywords: Evidence, Principles Unus testis nullus testis, Rape


",24
PENERAPAN MEDIASI PENAL OLEH KEPOLISIAN SEBAGAI PENEROBOSAN TERHADAP ASAS LEGALITAS," MOHAMMAD NURUL HUDA, S.H."," Dr. WARTININGSIH, S.H.,M.Hum.","Dr. SYAMSUL FATONI, S.H.,M.H.","Penanganan kasus pidana melalui Mediasi Penal ini relevan untuk dikaitkan dengan proses penegakan hukum oleh POLRI, khususnya menyangkut perkara pidana yang ringan. Dasar hukum dari Mediasi Penal adalah Surat Kapolri No. Pol.: B/3022/XII/2009/Sdeops tentang Penanganan Kasus melalui Alternatife Dispute Resolution (selanjutnya disebut ADR).
Tujuan penulisan ini adalah untuk mengetahui dan menganalisis Mediasi Penal sebagai bentuk Restoratif Justice yang tertuang dalam Surat Kapolri NO POL : B/3022/XII/2009/SDEOPS bertentangan atau tidak dengan Asas Legalitas. Sementara itu, manfaatnya adalah untuk manfaat teoritis agar memberikan manfaat pada pembangunan ilmu hukum pidana di Indonesia, masukan data ataupun literatur bagi penulisan hukum selanjutnya yang berguna bagi para pihak-pihak yang berkepentingan, sedangkan untuk kepentingan praktis yaitu untuk dapat memberikan manfaat bagi masysarakat untuk memahami terkait Surat Kapolri NO POL : B/3022/XII/2009/SDEOPS tentang Alternatif Dispute Resolusion (ADR) sehingga pidana dijadikan sebagai ultimum remidium. 
Metode penelitian Tesis ini adalah pendekatan perundang-undangan (statute approach), pendekatan konseptual (Conceptual Approach), dan pendekatan kasus (case approach). Berdasarkan pengkajian melalui metode dan pendekatan tersebut kemudian diperoleh hasil dari penelitian yaitu Penyelesaian perkara pidana melalui ADR  memiliki beberapa keuntungan yang bisa diperoleh diantaranya untuk mengurangi kemacetan dan penumpukan perkara di pengadilan. Banyaknya kasus yang diajukan ke pengadilan menyebabkan proses berperkara seringkali berkepanjangan dan memakan biaya yang tinggi serta sering memberikan hasil yang kurang memuaskan, untuk meningkatkan keterlibatan masyarakat (desentralisasi hukum) atau memberdayakan pihak-pihak yang berperkara dalam proses penyelesaian perkara, untuk memciptakan keadilan di masyarakat, Untuk memberi kesempatan bagi tercapainya penyelesaian perkara pidana yang menghasilkan keputusan yang dapat diterima oleh semua pihak baik pelaku maupun korban, penyelesaian perkara lebih cepat dan biaya murah, Lebih tinggi tingkat kemungkinan untuk melaksanakan kesepakatan, sehingga hubungan pihak-pihak yaitu pelaku dan korban yang berperkara di masa depan masih dimungkinkan terjalin dengan baik, serta Mengurangi merebaknya permainan kotor dalam pengadilan.

Kata Kunci : Mediasi Penal, Asas Legalitas, Kepolisian


",24
"PENGADAAN TANAH OLEH NEGARA TERHADAP TANAH HAK MILIK PERORANGAN UNTUK KEPENTINGAN UMUM
Perspektif Undang-Undang Nomor 2 Tahun 2012 Tentang Pengadaan Tanah Bagi Pembangunan Untuk Kepentingan Umum
", SYAIFUL ISMAIL," Dr. MUFARRIJUL IKHWAN, SH. MHum.","Dr. WARTININGSIH, SH. MHum.","Pengadaan tanah untuk kepentingan umum sebelum adanya
kesepakatan para pihak khususnya tentang ganti kerugian, bertentangan dengan Pasal 5 Undang-undang Nomor 2 Tahun 2012 tentang Pengadaan Tanah Bagi Pembangunan Untuk Kepentingan Umum dan Pasal 18 Undang-undang Nomor 5 Tahun 1960 tentang Peraturan Dasar Pokok-pokok Agraria. Terkait dengan adanya hak menguasai negara pada tanah, tetap acuannya atau yang menjadi dasar adalah adanya hak bangsa Indonesia.
Substansi yang terkandung dalam makna tersebut adalah bahwa bangsa/masyarakat Indonesia sebagai pemegang hak tertinggi atas tanah memberikan kewenangan atau menugaskan pada negara yang dalam hal ini adalah pemerintah Indonesia untuk mengelola tanah bangsa/rakyat tersebut, dengan tujuan utama untuk mewujudkan kemakmuran kehidupan masyarakat/bangsa Indonesia. Artinya status berlakunya hak bangsa terhadap penguasaan hak negara pada aspek pengadaan tanah untuk kepentingan umum, tetap konstan/tidak berubah atau tetap berlaku. Oleh karenanya meskipun hak penguasaan negara yang diberikan pada perorangan atau badan hukum, diambilalih kembali oleh negara/menjadi hak negara, tetap harus memperhatikan
kepentingan hukum dan hak-hak mendasar dari yang berhak atas tanah tersebut sesuai dengan perintah UU Nomor 2/2012 dan Undang-undang Nomor 5 Tahun 1960.",24
Kewenangan Dewan Kehormatan Penyelenggara Pemilu (DKPP) dalam Penyelenggaraan Pemilu di Indonesia, Muhlis," Prof. Dr. Nunuk Nuswardani, SH.,MH","Dr. Indien Winarwati, SH.,MH","Penelitian ini dilatar belakangi oleh adanya perubahan undang-undang penyelanggara pemilu. Perubahan Undang-Undang Nomor 22 tahun 2007 yang diubah dengan Undang-Undang Nomor 15 tahun 2011 tentang Penyenlengara Pemilu berimplikasi pada beberapa hal. Salah satu subtansi yang menjadi fokus dalam kajian peneliti adalah format kelembagaan penyelenggara pemilu. Pada saat berlakunya UU Nomor 22 tahun 2007 belum ada Dewan Kehormatan Penyelenggara Pemilu, UU No. 22 hanya menyebutkan adanya DK-KPU.
Dalam penelitian ini penulis menelaah keberadaan lembaga DKPP sebagai lembaga baru dalam resim UU No. 15 tahun 2011. Mengingat posisi DKPP adalah lembaga yang permanen. Dengan posisi permanen tersebut DKPP menjadi lembaga yang seimbang keberadaanya dengan lembaga penyelenggara pemilu lainnya, yakni KPU dan Bawaslu. Namun, masih ada keambiguan dalam persoalan pendifinisian lembaga penyelenggara pemilu. Undang-undang hanya menyebut KPU dan Bawaslu sebagai penyelenggara pemilu. Keambiguan tersebut ahirnya terjawab dengan adanya Putusan MK No. 81/PUU-IX/2011. Fungsi DKPP jelas memiliki peranan penting secara konstitusional dalam bidang etik penyelenggara pemilu. Kewenangan DKPP memeriksa dan memutus pelanggaran etik yang dilakukan oleh penyelenggara pemilu.
Kewenangan memutus pelanggaran etik sebagai fungsi utama DKPP. Dengan kewenangan tersebut DKPP dapat menciptakan hukum melalui putusan-putusannya. Putusan DKPP mengisi kekosongan hukum yang dibutuhkan dalam penyelenggaraan pemilu. Putusan DKPP dapat dikualifikasikan pada putusan kondemnatoir dan konstitutif. Putusan kondemnatoir berupa pemberian sanksi pada penyelenggara pemilu yang terbukti melakukan pelanggaran, sedangkan putusan konstitutif pengembalian hak konstitusional individu penyelenggara yang tidak terbukti melakukan pelanggaran. Sifat putusan DKPP adalah Final dan mengikat.


Kata Kunci : Kelembagaan Penyelenggara Pemilu, Fungsi dan Putusan DKPP
",24
"KESENJANGAN ANTARA KEHARUSAN ADANYA
PENYERAHAN TERSANGKA DENGAN ADANYA 
PENGADILAN IN ABSENTIA DALAM PERKARA TINDAK
PIDANA UMUM", RAHMAT BUDI SUSETYO," Dr. Deni SB Yuherawan, S.H., M.S.","Dr. Eny Suastuti, S.H., M.Hum.","Tersangka tindak pidana haruslah diproses secara hukum karena telah
melakukan perbuatan yang dilarang oleh aturan hukum. Setiap tersangka tindak
pidana harus dikenai sanksi atas perbuatan yang dilakukannya. Perbuatan yang
dilakukan tersangka tindak pidana telah mengakibatkan kerugian pada diri korban.
Diprosesnya tersangka secara hukum dapat menciptakan tertib hukum, mencegah
maupun mengurangi terjadinya suatu tindak pidana dan terwujudnya keadilan. 
Metode penelitian yang dipakai adalah metode penelitian Hukum
Normatif. Dengan menggunakan pendekatan konseptual. Dari hasil penelitian
diketahui bahwa Kesenjangan antara keharusan adanya penyerahan tersangka
dengan adanya pengadilan In Absentia dalam perkara tindak pidana umum yaitu
terdapat pada adanya keharusan penyerahan tersangka kepada penuntut umum
maka tersangka tindak pidana yang hilang/melarikan diri tidak dapat dikenai
sanksi pidana apabila tersangka tersebut tidak diketahui keberadaannya.
Tersangka yang hilang/melarikan diri dan tidak diketahui keberadaannya harus
diproses secara hukum, baik pada saat tahap penyidikan, penuntutan dan
persidangan. Demi terciptanya keadilan dalam hukum, maka Tersangka pelaku
tindak pidana yang hilang/tidak diketahui keberadaannya harus tetap diproses
secara hukum. Namun akan terdapat hak-hak tersangka atau terdakwa yang
dilanggar. Kesulitan juga akan terjadi apabila dilakukan peradilan In Absentia
yaitu aparat penegak hukum tidak dapat dengan maksimal dalam menjalankan
tugasnya karena dibutuhkan keterangan tersangka/keterangan terdakwa, baik
dalam tahap penyidikan dan persidangan.  
Akibat hukum dengan adanya keharusan penyerahan tersangka dan dengan
adanya pengadilan In Absentia pada perkara tindak pidana umum yaitu setiap
perkara yang tidak diketahui keberadaan tersangkanya karena hilang/melarikan
diri, baru dapat diproses secara hukum jika tersangka tersebut telah
ditemukan/ditangkap. Dalam hal ini proses hukum terhadap tersangka tindak
pidana terhenti karena tersangka hilang/melarikan diri. Sedangkan adanya
peradilan In Absentia pada perkara tindak pidana umum yaitu perkara pelanggaran
lalu lintas jalan berakibat hukum semua perkara pelanggaran lalu lintas jalan yang
diperiksa dengan Acara pemeriksaan Cepat dapat diproses secara hukum
meskipun tersangka tindak pidana hilang/melarikan diri, tidak terjadi pelimpahan
tersangka dari penyidik kepada penuntut umum dan terdakwa tidak hadir di
persidangan sesuai dengan pasal 196 dan 214 KUHAP.    
Disarankan agar dengan adanya penelitian tesis ini akan ada penambahan
pasal baru dalam KUHAP mengenai dapat diprosesnya Tersangka pelaku tindak
pidana, meskipun Tersangka tersebut menghilang tidak diketahui keberadaannya
apabila telah cukup bukti untuk memprosesnya secara hukum demi terciptanya
keadilan dan kebenaran. Dibutuhkan pengaturan dalam KUHP dan KUHAP
mengenai dapat diprosesnya seluruh tindak pidana dan perkara pidana apabila
tersangka/terdakwanya hilang/melarikan diri secara In Absentia sehingga
pengaturannya lebih jelas dan tercipta kepastian hukum.  

Kata kunci : Hukum Pidana, Perbuatan Pidana, Tersangka, Penyidikan,
Penuntutan dan Persidangan In Absentia.
",24
"PENGEMBANGAN PENGATURAN INVESTASI KEPARIWISATAAN
DI KABUPATEN BANGKALAN
"," Desi PantaswatI, S.H."," Dr. Mufarrijul Ikhwan, SH, MHum","Dr. Murni, SH, MHum","Pariwisata adalah salah satu sektor utama yang dapat meningkatkan Pendapatan Alokasi Daerah Kabupaten Bangkalan, tetapi hingga saat ini hal tersebut masih belum dioptimalkan pemanfaatannya dalam mengembangkan investasi Pemerintah dibidang usaha pariwisata Kabupaten Bangkalan, selain hal tersebut berkaitan dengan prosedur perijinan di bidang usaha pariwisata yang masih belum jelas  berkaitan dengan kewenangan yang berhak mengeluarkan ijin dibidang usaha pariwisata. Berdasarkan alasan tersebut maka perlu dirumuskan permasalahan hukum yang muncul mengenai bentuk investasi pemerintah di daerah kabupaten bangkalan untuk meningkatkan bidang usaha pariwisata di Kabupaten Bangkalan beserta dengan prosedur perijinan pariwisata yang menunjang untuk peningkatan dibidang usaha pariwisata Kabupaten Bangkalan. Metode Penelitian yang digunakan yaitu penelitian hukum empiris dengan pendekatan fakta (fact approach), berdasarkan kejadian yang berlangsung di lapangan. Lokasi penelitiannya Kabupaten Bangkalan dengan Populasi Pemerintah Daerah Kabupaten Bangkalan dan menggunakan 3 (tiga) sample instansi Pemerintah Daerah. Jenis data yang digunakan data primer, teknik pengumpulan data yang digunakan adalah penelitian kepustakaan dan Penelitian lapangan dengan menggunakan purposive sampling. Alat pengumpulan data yaitu studi dokumen dan wawancara, analisis data yang digunakan adalah analisis data kualitatif. Berdasarkan metode penelitian tersebut maka dapat disimpulkan bahwa investasi pemerintah yang diterapkan di daerah Kabupaten Bangkalan adalah Investasi secara langsung, dan terdapat 2 (dua) versi prosedur perijinan dibidang usaha pariwisata pertama berdasarkan Peraturan Daerah Kabupaten Bangkalan Nomr 15 Tahun 2003 tentang Penyelenggaraan Usaha Pariwisata dan yang Kedua berdasarkan Peraturan Menteri Pariwisata Nomor 18 Tahun 2016 tentang Pendaftaran Usaha Pariwisata. 

Kata Kunci  : Bentuk Investasi Pemerintah secara langsung, Bidang usaha Pariwisata, dan Pelaksanaan Perijinan dibidang usaha pariwisata.

",24
"PENGUASAAN HAK RUANG BAWAH DAN ATAS TANAH MENURUT UNDANGUNDANG NOMOR 5 TAHUN 1960 TENTANG PERATURAN DASAR POKOK
AGRARIA", moch rifai, Dr. Mufarrijul,Dr. Indien,"Pengaturan dan pemahaman tentang konsep hak atas tanah, UUPA hanya membatasi
pada permukaan bumi. Sedangkan ruang yang ada diatas dan dibawahnya, dipandang hanya dari
sudut penggunaannya. UUPA belum mengatur secara khusus tentang hak kepemilikan atas ruang
bawah/diatas tanah atau permukaan bumi. Pengaturannya hanya terbatas pada pemberian
wewenang untuk menggunakan ruang diatas atau dibawah permukaan bumi
Pasal 4 UUPA dikategorikan pada interpretasi ekstensif. Artinya bahwa selain tanah dan
bangunan yang sudah menjadi hak seseorang atau badan hukum yang sudah tertera didata
Sertifikat, maka ruang bawah atau diatas tanah tersebut tetap konsisten dengan hak menguasai
negara yaitu menjadi hak negara. Berhubung dengan status hak ruang bawah diatas tanah
menjadi hak negara, maka segala hal kegiatan seseorang atau badan hukum yang menggunakan
ruang tersebut, harus menyesuaikan dengan ketentuan dan peraturan negara/Pemerintah",24
KEWENANGAN PENGADILAN AGAMA DALAM MENETAPKAN ISBAT NIKAH TERHADAP PERKAWINAN POLIGAMI SIRI ," EMBAY BAITUNAH,S.Ag"," DR.Hj.MURNI, S.H,M.HUM","DR.Hj.USWATUN HASANAH, S.H,M.HUM","Abstrak : Judul dari tesis ini adalah “KEWENANGAN PENGADILAN AGAMA DALAM MENETAPKAN ISBAT NIKAH TERHADAP PERKAWINAN POLIGAMI SIRI”. Adapun latar belakang dari penulisan tesis ini adalah Menurut Undang-Undang Perkawinan, sebelum melakukan poligami pelaku poligami harus terlebih dahulu memperoleh izin dari Peradilan Agama dengan cara mengajukan Permohonan izin Poligami di Pengadilan Agama. Pada prakteknya banyak masyarakat yang melakukan poligami tidak pernah memperhitungkan adanya pengadilan yang berwenang memberi izin poligami sehingga mereka dengan sesuka hati melakukan poligami terhadap istri-istri mereka, Selain itu juga akan menimbukan  masalah terkait dengan kewenangan pengadilan agama dalam mengadili perkawinan poligami  yg tidak dapat izin, dan dalam mengadili pemberian isbat nikah terhadap perkawinan poligami siri  Adapun permasalahan yang diteliti dalam tesis ini adalah: a) Apakah izin perkawinan poligami dapat diberikan oleh Pengadilan agama setelah perkawinan 

 
 
poligami dilakukan? b) Apakah Pengadilan Agama berwenang memberikan penetapan isbat nikah terhadap perkawinan poligami siri? Sedangkan tipe dari penelitian ini adalah penelitian hukum normatif dengan pendekatan kasus. Adapun hasil dari penelitian ini menunjukkan bahwa: pertama, Pemeberian Izin perkawinan poligami setelah perkawinan poligami dilakukan, tergantung atas pertimbangan hakim yang melihat sedikit kekhawatiran yang menyebabkan ketidak harmonisan hidup dalam keluarga. Kedua, Pengadilan Agama berwenang memberikan penetapan isbat nikah terhadap perkawinan poligami siri, karena penetapan isbat nikah dan perkawinan poligami bagian dari perkawinan, sedangkan perkara perkawinan merupakan kewenagan pengadilan agama. 
 
Kata kunci : Poligami, Isbat Nikah, Pengadilan Agama. ",24
KEWENANGAN PRESIDEN DALAM MENERBITKAN PERATURAN PEMERINTAH PENGGANTI UNDANG-UNDANG (PERPPU)," ABDUL ROHIM, SH"," Prof. Dr. NUNUK NUSWARDANI, SH., MH","Dr. INDIEN WINARWATI,SH., MH.","Peraturan Pemerintah Pengganti Undang-Undang atau yang disingkat Perppu adalah Peraturan Perundang-undangan yang ditetapkan oleh Presiden dalam hal ikhwal kegentingan yang memaksa. Istilah peraturan pemerintah sebagai pengganti undang-undang sepenuhnya adalah ciptaan Undang-Undang Dasar 1945, yaitu sebagaimana yang ditentukan dalam Pasal 22 ayat (1) UUD 1945. Dasar penerbitan Perppu ialah adanya “Kegentingan yang memaksa”. Salah satu substansi yang menjadi fokus dalam kajian peneliti adalah parameter kegentingan yang memaksa dalam penerbitan perppu dan  kedudukan perppu dalam hierarki perundang-undangan indonesia
Penelitian yang digunakan dalam penulisan ini adalah  penelitian  hukum normatif dengan menggunakan pendekatan perundang-undangan (statute approach) dan pendekatan konsep (conseptual approach). 
Berdasarkan Putusan MK Nomor 138/PUU-VII/2009 ada tiga syarat sebagai parameter adanya “kegentingan yang memaksa” bagi Presiden untuk menetapkan Perppu. Adanya keadaan yaitu kebutuhan mendesak untuk menyelesaikan masalah hukum secara cepat berdasarkan Undang-Undang;. Undang-Undang yang dibutuhkan tersebut belum ada sehingga terjadi kekosongan hukum, atau ada Undang-Undang tetapi tidak memadai; Kekosongan hukum tersebut tidak dapat diatasi dengan cara membuat Undang-Undang secara prosedur biasa karena akan memerlukan waktu yang cukup lama sedangkan keadaan yang mendesak tersebut perlu kepastian untuk diselesaikan
Kedudukan Perppu dalam hierarki peraturan perundang-undangan diatur dalam Undang-Undang Nomor 12 Tahun 2011 tentang Pembentukan Peraturan Perundang-undangan, yaitu kedudukkan  Perppu sejajar dengan Undang-Undang dalam hierarki peraturan perundang-undangan Indonesia. Perpu merupakan bentuk hukum yang bersifat khusus karena wewenang pembentukannya diberikan hanya kepada Presiden. Kedudukan Perppu yang sejajar dengan Undang-Undang dalam hierarki perundang-undangan merupakan konsekuensi dari keberadaan Perppu untuk menggantikan ketentuan Undang-Undang sebagai solusi mengatasi keadaan genting yang memaksa.




Kata Kunci: Parameter kegentingan memaksa, Kedudukan Perppu dalam Hierarki Perundang-undangan
",24
"PEMILIHAN KEPALA DAERAH SECARA LANGSUNG  MENURUT UNDANG-UNDANG DASAR NEGARA REPUBLIK INDONESIA TAHUN 1945
", Moch. Fauzan Ja'far S.Ag," Prof. Dr. Nunuk Nuswaedhani, SH. MH.","Dr. Indien Winarwati, SH.,MH","Pengaturan pemilihan kepala daerah mulai sejak zaman penjajahan sampai saat ini selalu mengalami dinamika dan tarik ulur, khususnya terkait dengan mekanisme pemilihannya, apakah dilaksanakan secara langsung atau cukup dilakukan oleh DPRD. Mulai bulan Juni tahun 2005 pemilihan kepala daerah secara langsung pertama kali dapat dilaksanakan, dibawah Undang-Undang Nomor 32 Tahun 2004, bahkan mulai tahun 2015 pelaksananaan pemilihan kepala daerah secara langsung tersebut dilaksanakan secara serentak dibawah rezim Undang-Undang Nomor 8 Tahun 2015 tentang Perubahan Undang-Undang Nomor 1 Tahun 2015, dan Undang-Undang Nomor 10 Tahun 2016 tentang Perubahan Kedua Undang-Undang Nomor 1 Tahun 2015 tentang Penetapan Peraturan Pemerintah Pengganti Undang-Undang Nomor 1 Tahun 2014 tentang Pemilihan Gubernur, Bupati, dan Walikota menjadi Undang-Undang. 
Pemlihan kepala daerah secara langsung menurut Undang-Undang Dasar Negara Republik Indonesia Tahun 1945, dengan menggunakan penafsiran sistematis terhadap konstitusi atau dengan menggunakan pendekatan konsep/teori dan pendekatan kewenangan dan instrumen penyelenggara pemilihan kepala daerah, pemilihan kepala daerah termasuk kedalam rezim pemilihan umum, yaitu dengan mengkaitkan penafsiran Pasal 18 ayat (4) UUD NRI Tahun 1945 dengan ketentuan Pasal 18 ayat (3) dan ketentuan Pasal 22E ayat (2) dan ayat (5) UUD NRI Tahun 1945. Selain itu dari segi konsep, antara pemilu dan pilkada sama-sama menggunakan asas LUBER-JURDIL, serta sama-sama diselenggarakan oleh KPU, Bawaslu, dan DKPP dan bahkan instrumem pilkada lainnnya juga mengadopsi instrument pemilihan umum",24
