Judul,Penulis,Pembimbing 1,Pembimbing 2,Abstrak,Prodi
APLIKASI TUJUH ALAT PENGENDALIAN MUTU PADA PROSES KERIPIK SUKUN DI UD BUNGA MUTIARA, EDI JUNAIDI," BANUN DIYAH PROBOWATI,S.TP.,M.Si",Ir.MUHAMMAD FAKHRY. MP,"ABSTRAK
Keripik sukun banyak diminati dalam masyarakat. Keinginan konsumen terhadap
produk yang baik dan mempunyai mutu yang baik merupakan salah satu pentingnya
perusahaan memenuhi dan menjaga mutu produknya. Oleh sebab itu perlu dilakukan
pengendalian mutu baik pengendalian mutu pada bahan baku, proses produksi dan produk
akhir keripik sukun.
Penelitian ini bertujuan untuk mengetahui aplikasi tujuh alat pengendalian mutu dan
cara meningkatkan mutu produk keripik sukun. Analisis pengendalian mutu dilakukan
dengan menggunakan alat bantu kendali mutu berupa check sheet, stratifikasi, histogram,
diagram pareto, diagram tebar, diagram sebab akibat dan peta kendali p. Check sheet
digunakan untuk menyajikan data agar memudahkan dalam memahami data untuk
menganalisis selanjutnya. Peta kendali p digunakan untuk melihat produk yang rusak apakah
masih berada dalam batas kendali atau tidak.
Hasil analisis data peta kendali p menunjukkan bahwa cacat produk yang terjadi
selama proses produksi dengan ambang batas atas sebesar 0,033 (79 keping keripik sukun)
dan bawah sebesar 0,021 (50 keping keripik sukun) dengan persentase rata-rata per hari
kerusakan sebesar 2,765% (66 keping keripik sukun). Cacat produk terbesar terjadi sekali,
karena melampaui batas atas dengan jumlah cacat sebesar 176 keping keripik sukun (3,6%).
Pembuatan analisis diagram sebab akibat dapat diketahui faktor apa saja penyebab
terjadinya kecacatan yaitu faktor bahan baku, alat, metode kerja / proses produksi, dan
manusia, sehingga perusahaan dapat segera mengambil tindakan pencegahan serta
perbaikan untuk memperkecil tingkat cacat.
Kata kunci : Keripik Sukun, Mutu, Alat Kendali Mutu",Teknologi Industri Pertanian
KAJIAN SENSORIS PANCAKE DISUBSTITUSI TEPUNG SUKUN DENGAN GUM ARAB DAN YEAST SEBAGAI AGEN PEMBENTUK TEKSTUR, Prasti Utami, Dr. Umi Purwandari,"Cahyo Indarto, S.TP,. MP","Penelitian ini mengkaji uji sensoris pancake dari tepung sukun dengan penambahan gum arab dan yeast untuk mengetahui proporsi optimum tepung sukun, gum arab dan yeast sebagai agen pembentuk tekstur pancake. Bahan yang digunakan adalah tepung sukun, gum arab dan yeast. Rancangan menggunakan RSM dengan Desain Box Behnken 3 faktor, 3 level dan 15 perlakuan. Proporsi tepung sukun 10, 20 dan 30%, gum arab 1, 2 dan 3% dan yeast 3, 4dan 5%. Parameter uji sensoris menggunakan uji hedonik dengan skor 1?9 yang meliputi kesukaan terhadap warna, aroma, rasa, tekstur di mulut dan kesukaan secara keseluruhan. Area optimum pada parameter warna adalah tepung sukun  28,09?29,96 %, gum arab 1,00?1,42% dan yeast 3,00?3,11%. Pada aroma adalah tepung sukun  27,20?29,96 %, gum arab 2,82?2,99% dan yeast 3,48?3,53%. Pada rasa adalah tepung sukun  17,67?29,96 %, gum arab 2,94?2,99% dan yeast 3,00?3,41%. Pada tekstur di mulut tepung sukun  10,00?28,70%, gum arab 1,00?1,15% dan yeast 3,00?3,34%. Pada kesukaan secara keseluruhan adalah tepung sukun  10,00?29,94 %, gum arab 1,00?1,01% dan yeast 3,00?3,51%. Kondisi optimum penilaian sensoris pada pancake yang baik sebagai agen pembentuk tekstur yaitu tepung sukun 30%, gum arab 1% dan yeast 3%.",Teknologi Industri Pertanian
"ANALISIS PERBAIKAN MUTU KECAP MENGGUNAKAN METODE QUALITY FUNCTION DEPLOYMENT
(Studi Kasus di UD. Kecap Cap Buah Apel Bangkalan)", Nia Taufany Putri," Millatul Ulya, S.TP., MT","Banun Diyah Probowati, S.TP., M.Si","Kecap merupakan salah satu bahan makanan yang tidak asing bagi masyarakat Indonesia, sebab hampir setiap rumah tangga menggunakannya. Kecap kedelai adalah produk cair yang diperoleh dari hasil fermentasi dan atau cara kimia (hidrolisis) kacang kedelai dengan atau tanpa penambahan bahan makanan lain dan tambahan makanan yang diizinkan. UD. Kecap Cap Buah Apel merupakan salah satu produsen kecap di Bangkalan yang memiliki omset produksi lebih rendah dari kompetitornya. Kondisi ini merupakan indikasi bahwa kualitas kecap yang diproduksi belum memenuhi keinginan konsumen. Tujuan penelitian ini adalah untuk mengidentifikasi persyaratan pelanggan dan persyaratan teknis produk kecap di UD. Kecap Cap Buah Apel. Hasil HOQ menilai bahwa persyaratan  pelanggan yang didapat yaitu aman, rasa, warna, aroma, kekentalan, harga, praktis, kesan di mulut. Persyaratan teknis UD. Kecap Cap Buah Apel adalah kedelai, formulasi gula, formulasi rempah - rempah, perendaman kedelai, perebusan kedelai, suhu perebusan, fermentasi kering, suhu fermentasi kering, fermentasi basah, suhu fermentasi basah, lama pemasakan, suhu pemasakan, penyimpanan pasca pemasakan, volume, pengawet benzoat, bakteri koliform, angka lempeng total dan desain kemasan.",Teknologi Industri Pertanian
KARAKTERISTIK MANISAN NANGKA KERING DENGAN PERENDAMAN GULA BERTINGKAT, Imron Sohibulloh," Darimiyya Hidayati, STP., MP","Burhan, STP., MT","Karakteristik manisan nangka kering dengan perendaman gula bertingkat. Penelitian ini mengkaji perendaman gula secara bertingkat atau tidak terhadap karakteristik manisan nangka kering. Tujuan penelitian menentukan konsentrasi larutan gula dan tingkat perendaman gula yang optimal dalam pembuatan manisan nangka kering. Rancangan percobaan yang digunakan Rancangan Acak Lengkap (RAL) dengan dua faktor yaitu faktor pertama pemberian konsentrasi larutan gula 3 taraf yaitu 30%, 40% dan 50%. Faktor kedua dengan tingkat perendaman dimana untuk perendaman yang kedua direndam dalam larutan dengan konsentrasi gula lebih tinggi yaitu 40%, 50% dan 60%. Variabel yang diamati adalah uji organoleptik, kadar air, kadar gula, rendemen, dan analisis tekstur. Data dianalisis menggunakan Anova (Analisis of Variance) Univariate dilanjutkan dengan uji Duncan. Penelitian perlakuan konsentrasi gula dan tingkat perendaman berpengaruh nyata terhadap warna dan kadar air. Analisis tekstur manisan nangka kering hanya menghasilkan nilai dari hardness dan resilience. Nilai hardness tertinggi manisan nangka kering sebesar6,0120x103pada perlakuan B1A3 (perendaman 1 kali dalam konsentrasi gula 50%), dan terendah 5,8347x103pada perlakuan B2A1 (perendaman 2 kali dalam konsentrasi gula 40%). Nilai resilience tertinggi manisan nangka kering sebesar 0,840 diperoleh perlakuan B2A3 (perendaman 2 kali dalam konsentrasi gula 60%) dan terendah 0,511 pada perlakuan B1A3 (perendaman 1 kali dalam konsentrasi gula 50%).Karakteristik manisan nangka terbaik terdapat pada perlakuan B2A2 (perendaman 2 kali dalam konsentrasi gula 50%.). Perlakuan B2A2 memiliki karkateristik kadar air 17,64 %, kadar gula 4,987 mg/100ml, rendemen 34,0481 %, hardness 5,9900x103 Ng, resilience 0,540, serta nilai rasa (7,17), aroma (5,27), warna (4,73), tekstur (4,9), dan kesukaan keseluruhan (4,47).

Kata kunci: Konsentrasi gula, tingkat perendaman, nangka, RAL
",Teknologi Industri Pertanian
"PENGGUNAAN METODE PARTIAL LEAST SQUARE DAN PRINCIPAL COMPONENT ANALYSIS UNTUK MENENTUKAN KORELASI SIFAT SENSORI, FISIK, DAN TEKSTURAL 
EGG-LESS PANCAKE DARI TEPUNG SUKUN ", Muhammad Sabiqun Najah, Umi Purwandari,Laila Khamsatul M,"Penelitian ini mengkaji faktor penentu kesukaan keseluruhan terhadap pancake yang dibuat dari “egg-less pancake mix” yang mengandung tepung sukun. Pancake dibuat dari campuran tepung sukun dan tepung terigu dengan proporsi tepung sukun berkisar dari 10-30%, gum arab 1-3%, dan yeast 3-5%. Sifat fisik pancake yang diukur adalah kadar air, densitas, dan volume. Sedangkan sifat tekstural yang diukur adalah hardness, adhesiveness, dan cohesiveness.  Analisis data menggunakan metode partial least square (PLS) regression dan principal component analysis (PCA). Parameter sensoris yang diujikan adalah warna, aroma, rasa, tektur di mulut, dan kesukaan keseluruhan, parameter fisik adalah kadar air, densitas dan volume, sedangkan untuk parameter tekstural adalah adhesiveness, cohesiveness, dan hardness. Analisis PLS menunjukkan bahwa ada 3 komponen dengan bobot masing-masing 73,526%, 18,829%, dan 6,585%. Korelasi masing-masing atribut sensoris dengan kesukaan keseluruhan dinyatakan dengan persamaan: Y = -0,05612 x1 + 0,013923 x2 + 0,295048 x3 + 0,718179 x4, dengan x1 adalah kesukaan pada warna, x2 adalah kesukaan pada aroma, x3 merupakan kesukaan pada rasa, dan x4 merupakan kesukaan pada tekstur di mulut. Sebagai kesimpulan, kesukaan terhadap aroma, warna dan tekstur di mulut ketiganya memiliki hubungan yang dekat, dan sangat menentukan kesukaan keseluruhan pada pancake. Tidak ada perbedaan mendasar antara hasil analisis menggunakan PLS dan PCA, tetapi analisis PLS memberikan informasi lebih banyak daripada PCA.",Teknologi Industri Pertanian
STRATEGI BERSAING PADA INDUSTRI KERUPUK AMPLANG DI UD SARINA KABUPATEN SUMENEP, Syaifur Rahman," Banun Diyah Probowati, STP.MSi","Supriyanto, STP.MP","ABSTRAK
UD Sarina merupakan suatu industri pengolahan kerupuk amplang  yang berbahan baku ikan tenggiri. Industri ini mengalami penurunan daya saing. Hal ini ditandai dengan penurunan jumlah produksi dan jumlah penjualan. Tujuan dari penelitian ini adalah untuk mengetahui aplikasi strategi bersaing yang dilakukan oleh perusahaan dan untuk mengetahui strategi bersaing yang seharusnya dilakukan oleh perusahaan dalam upaya meningkatkan omzet penjualan. Metode analisis data yang digunakan dalam penelitian ini adalah matriks IFAS, matriks EFAS, matriks IE, matriks SWOT.
Hasil penelitian menunjukkan  terdapat faktor internal yang menjadi kekuatan industri kerupuk amplang di UD Sarina yaitu unit produksi yang dekat dengan sumber bahan baku, bahan baku yang berkualitas, atribut mutu rasa yang dapat memuaskan konsumen, modal usaha yang relatif tinggi, keterlibatan keluarga dalam perusahaan yang cukup besar (0,239), produk mudah diperoleh di pasar, teknologi yang digunakan dalam memproduksi relatif sederhana, volume penjualan produk dari tahun ke tahun meningkat. Faktor internal yang menjadi kelemahan industri ini adalah tingkat pendidikan tenaga kerja rendah, kontinyuitas pasokan bahan baku yang terbatas pada bulan-bulan tertentu, keterbatasan sarana dan prasarana distribusi produk, belum menggunakan sarana promosi yang beragam, lokasi produksi jauh dari pasar produk.
Faktor eksternal yang menjadi peluang industri kerupuk amplang di UD Sarina adalah loyalitas konsumen yang semakin tinggi, segmen pasar yang masih luas, potensi penjualan yang masih luas, iklim usaha yang terbuka. Faktor eksternal berupa ancaman yang harus dihadapi oleh industri ini  adalah banyaknya pesaing baru dengan produk yang sama, kondisi alam berpengaruh pada pasokan bahan baku. Berdasarkan analisis SWOT maka strategi SO  merupakan strategi yang paling tepat yaitu dengan meningkatkan ketersediaan produk di pasar. Strategi SO inilah yang digunakan sebagai dasar untuk mendukung kebijakan pertumbuhan yang agresif.

Kata Kunci: Kerupuk Amplang, Strategi Bersaing, SWOT",Teknologi Industri Pertanian
SIFAT TEKSTURAL MI BEBAS GLUTEN DARI TEPUNG PORANG SEBAGAI EFEK PRE-GELATINISASI, Bayu Noriandita, Dr. Umi Purwandari,"Iffan Maflahah STP.,M.SI","Mi merupakan makanan yang sangat populer di Indonesia tetapi bahan baku yang digunakan selama ini adalah tepung terigu yang masih diimpor. Untuk mengurangi impor digunakan tepung porang dalam pembutan mi. Tujuan dari penelitian ini adalah untuk mengetahui pengaruh proporsi air dalam tepung pre-gelatinisasi, tepung pre-gelatinisasi dan tepung porang terhadap sifat tekstural mi bebas gluten dari tepung porang. Perlakuan terdiri dari proporsi tepung pre-gelatinisasi (tepung porang:air) terdiri 3 level yaitu 1:9, 1:10 dan 1:11; dan proporsi tepung kering (tepung gelatinisasi:tepung porang) juga menggunakan 3 level yaitu 1:0,1; 1:0,13; dan 1:0,18. Pengukuran yang dilakukan adalah cooking time dan uji tekstur yang dilakukan menggunakan Texture Analyzer TAXT Plus Stable Micro System dengan probe silinder diameter 35 mm (P/35). Parameter pada uji tekstur adalah hardness, adhesiveness dan elongasi. Dari hasil penelitian proporsi air tidak berpengaruh nyata (P?0,05) terhadap tingkat kekerasan (hardness) mi, namun berpengaruh nyata (P<0,05) terhadap tingkat kelengketan (adhesiveness) dan cooking time mi. Proporsi tepung berpengaruh nyata (P<0,05) terhadap tingkat kekerasan (hardness) dan cooking time pada mi, namun tidak berpengaruh nyata (P?0,05) terhadap tingkat kelengketan (adhesiveness) mi. Mi dengan cooking time terendah (18,133 menit) dibuat dengan perlakuan 9(0,13). Dari uji tekstur tingkat kekerasan (hardness) mi porang terendah (3094 g) adalah pada perlakuan 10(0,1), tingkat kelengketan (adhesiveness) terendah (-406 g) adalah mi pada perlakuan 9(0,1) dan nilai elongasi mi pada perlakuan 9(0,18) adalah 43,37 %",Teknologi Industri Pertanian
"PENGARUH PEREBUSAN DAN KONSENTRASI GULA TERHADAP SIFAT FISIK, KIMIA DAN ORGANOLEPTIK MANISAN BASAH KEDONDONG (Spondias dulcis Forst).", siti aliyah," Darimiyya Hidayati, S.TP., MP","Millatul Ulya, S.TP., MT","ABSTRAK

Pemanfaatan buah kedondong di Indonesia masih belum maksimal. Sehingga perlu adanya penelitian tentang pemanfaatan kedondong menjadi produk bernilai ekonomis, seperti manisan kedondong. Penelitian ini bertujuan untuk mengetahui pengaruh proses perebusan terhadap sifat fisik, kimia dan organoleptik manisan basah kedondong dan untuk mengetahui pengaruh konsentrasi gula terhadap sifat fisik, kimia dan organoleptik manisan basah kedondong. Penelitian ini menggunakan Rancangan Acak Lengkap (RAL) dengan dua faktor yaitu faktor konsentrasi gula dengan 3 level 40%, 50% dan 60%, dan faktor perlakuan yaitu perlakuan perebusan dan perlakuan tanpa perebusan. Pengolahan data dianalisis menggunakan analysis of variance dan apabila hasil berbeda nyata maka dilakuakan uji lanjut DMRT (Duncan Multiple Range Test). Sifat fisik diukur dengan Texture Analyzer (Stable Micro System TA.XT plus) meliputi kekerasan (hardness), dan kekenyalan (resilience). Hasil yang diperoleh bahwa Perlakuan perebusan berpengaruh nyata terhadap kadar air (0.001), Total Padatan Terlarut (0.001), vitamin C (0.000), kekerasan (0.010), kekenyalan (0.001), tekstur (0.031), rasa (0.00), aroma (0.000) dan keseluruhan (0.044). Konsentrasi gula berpengaruh nyata terhadap kadar air (0.004), Total Padatan Terlarut (0.005), kekerasan (hardness) (0.000), dan kekenyalan (resilience) (0.000). Interaksi antar kedua perlakuan perebusan dan konsentrasi gula berpengaruh nyata hanya pada Total Padatan Terlarut (0.842) manisan basah kedondong, sedangkan terhadap sifat fisik, kimia dan organoleptik manisan basah kedondong yang lain tidak berpengaruh. 

Kata kunci: Manisan basah kedondong, Konsentrasi larutan gula, Perebusan 
",Teknologi Industri Pertanian
STABILITAS SENSORIS DAN TEKSTUR MI BASAH PORANG SELAMA PENYIMPANAN, lailatul jamiiyah ahlian, Dr. Umi purwandari,"Laila khamsatul muharrami. SSI., MSI","ABSTRAK
Mi merupakan olahan dari tepung terigu yang merupakan suatu komoditas impor. Salah satu bahan yang dapat dijadikan alternatif stitusi tepung terigu untuk pembuatan mi adalah umbi lokal bernama umbi porang. Tujuan penelitian ini adalah mengetahui stabilitas sensoris dan tekstur mi basah porang selama penyimpanan pada suhu rendah ±12°C dalam kulkas. Perlakuan diambil dari sampel terbaik dari hasil uji sensoris sebelumnya, yaitu dengan proporsi tepung porang dan air (1:9) dalam tepung pre-gelatinisasi; dan proporsi tepung gelatinisasi dan tepung kering (1:0,18). Parameter pengukuran yang dilakukan adalah kesukaan pada  warna, aroma, rasa, tekstur dan kesukaan keseluruhan dengan menggunakan 20 panelis tidak terlatih utuk memberi skor 1-9, selama penyimpanan 4 hari. Uji tekstural dilakukan dengan menggunakan texture analyzer dengan probe silinder 35mm (p/35) untuk mengukur kekerasan (hardness) dan kelengketan (adhesiveness). Desain penelitian yang digunakan adalah metode RAL dengan faktor tunggal berupa waktu penyimpanan. Hasil analisis menunjukkan bahwa kesukaan pada  warna dan rasa dipengaruhi secara nyata (P<0,05) oleh waktu penyimpanan. Sedangkan kesukaan pada aroma, tekstur dan keseluruhan tidak  dipengaruhi secara nyata (P?0,05) oleh waktu penyimpanan. Penurunan nilai sensoris disebabkan oleh perubahan dari segi warna, aroma, rasa, teksturdankesukaankeseluruhan selama penyimpanan. Hasil dari uji tekstural terhadap tingkat kekerasan (hardness) perlakuan hari berpengaruh nyata(P<0,05)semakin lama penyimpanan tingkat kekerasan mi basah porang semakin meningkat dari hari ke-4 dan hari ke-6.Uji tekstural terhadap tingkat kelengketan (adhesiveness)perlakuan hari tidak memberi pengaruh nyata(P?0,05)semakin lama penyimpanan mi basah porang mengalami penurunan dari hari ke-2, ke-4 dan ke-6.  

Kata kunci:Tepung porang, mi basah, penyimpanan suhu rendah ±12°C
",Teknologi Industri Pertanian
EFEK PRE-GELATINISASI DAN PROPORSI TEPUNG PORANG KERING TERHADAP PENILAIAN SENSORIS DAN ANALISIS KORELASI SIFAT SENSORIS MI PORANG, Syarifa Ummah, Dr. Umi Purmandari,Rahmad Fajar Sidik M.Si,"Kebutuhan tepung terigu setiap tahunnya cenderung meningkat, permintaan paling besar dari permintaan industri mi. Sampai saat ini tepung terigu masih impor dan untuk mengurangi impor terigu digunakan tepung porang dalam pembuatan mi. Tujuan dari penelitian ini adalah mengetahui pengaruh air dalam tepung pre-gelatinisasi dan tepung porang kering terhadap mutu sensoris mi porang, untuk mengetahui perlakuan terbaik yang memberikan hasil penilaian kesukaan keseluruhan tertinggi dan untuk mengetahui hubungan antara atribut mutu mi tepung porang terhadap kesukaan secara keseluruhan. Faktor dalam penelitian ini adalah proporsi air dalam tepung pre-gelatinisasi (ada tiga level: 9, 10, 11), dan proporsi tepung porang kering terhadap tepung pre-gelatinisasi (ada 3 level: 0,1; 0,13; dan 0,18). Uji sensoris dilakukan dengan menggunakan 20 orang panelis tidak terlatih, dengan parameter uji sensoris meliputi kesukaan terhadap  warna, aroma, rasa, tekstur di mulut dan kesukaan keseluruhan, menggunakan skala 1 (sangat amat tidak suka) sampai 9 (sangat amat suka). Untuk mengetahui korelasi dari sifat sensoris digunakan metode regresi PLS (Partial Least Square). Dari hasil penelitian faktor air dalam pre-gelatinisasi berpengaruh nyata terhadap tekstur di mulut. Sedangkan faktor  tepung porang kering berpengaruh nyata terhadap warna dan rasa. Secara keseluruhan panelis paling menyukai mi pada perlakuan 9:0,18 dengan nilai terhadap warna 6,4; aroma 5,9; rasa 6 dan tekstur di mulut 5,95. Hasil analisis menggunakan regresi Partial Least Square menunjukkan bahwa kesukaan keseluruhan pada mi porang sangat ditentukan oleh faktor kesukaan pada rasa.



Kata kunci: Mi porang, uji sensoris, regresi PLS (Partial Least Square).
",Teknologi Industri Pertanian
Analisa Karakteristik Manisan Kering Salak (Salacca Edulis) Dengan Lama Perendaman Dan Konsentrasi Larutan Gula, Arini Maulidiah," Darimiyya Hidayati, STP. MP","Sri Hastuti, SPt. MP","Manisan kering salak adalah salah satu makanan ringan dengan penambahan gula pasir dengan konsentrasi tinggi kemudian dikeringkan. Penelitian ini bertujuan untuk mengetahui pengaruh konsentrasi larutan gula dan lama perendaman terhadap karakteristik manisan kering salak. Rancangan percobaan yang digunakan adalah Rancangan Acak Lengkap (RAL) faktorial yang terdiri dari dua faktor yaitu konsentrasi larutan gula 40% (A1), 50% (A2), 60% (A3) dan faktor lama perendaman larutan gula secara bertingkat dengan lama perendaman selama 24 jam (B1) dan 48 jam (B2), masing-masing faktor diulang tiga kali. Pengolahan data hasil uji kualitas manisan kering salak menganalisa dengan menggunakan General Linier Model (LGM) Univariate uji Duncan Multiple Range Test (DMRT). Hasil yang diperoleh bahwa konsentrasi larutan gula dan lama perendaman berpengaruh nyata terhadap gula reduksi. Lama perendaman berpengaruh nyata pada nilai rendemen, kesukaan pada rasa, kesukaan pada tekstur, dan kesukaan pada keseluruhan manisan kering salak. Interaksi lama perendaman dan konsentrasi larutan gula berpengaruh nyata terhadap kadar air manisan kering salak. 

Kata kunci: lama perendaman, konsentrasi larutan gula, manisan kering salak
",Teknologi Industri Pertanian
KAJIAN COOKING QUALITY MI FUNGSIONAL BERBAHAN BAKU TEPUNG SUKUN (Artocarpus communis) DAN TEPUNG TERMODIFIKASI, Muchlis Kholil," Ir. Umi Purwandari, M.App.Sc.,Ph.D","Supriyanto, STP.,MP","Abstrak


Impor terigu di Indonesia setiap tahunnya semakin meningkat. Untuk mengurangi ketergantungan terhadap impor terigu, dan membuat diversifikasi olahan sukun, dibuatlah mi dari tepung sukun. Faktor yang dikaji adalah proporsi air dan tepung singkong termodifikasi dalam tepung pre-gelatinisasi, yaitu 4:1, 5:1, dan 6:1. Faktor kedua yang dikaji adalah proporsi tepung pre-gelatinisasi dan tepung sukun, yaitu 10:10, 10:11, 10:12. Parameter cooking quality  terdiri dari waktu pemasakan, cooking loss, dan absorpsi air. Hasil menunjukkan bahwa terdapat pengaruh nyata (p<0,05) interaksi proporsi air dalam tepung pre-gelatinisasi dan proporsi tepung pre-gelatinisasi dengan tepung sukun. Waktu pemasakan mi sukun berkisar antara 186 (air:tepung singkong termodifikasi = 5:1; dan tepung pre-gelatinisasi:tepung sukun = 10:10) hingga 286 detik (air:tepung singkong termodifikasi = 4:1; dan tepung pre-gelatinisasi:tepung sukun = 10:12). Cooking loss mi sukun berkisar dari 12,457 hingga  17,042 %, dan tidak dipengaruhi secara nyata (p>0,05) oleh perlakuan. Sedangkan absorpsi air mi sukun berkisar dari 143,090 (air:tepung singkong termodifikasi = 4:1; dan tepung pre-gelatinisasi:tepung sukun = 10:10) hingga 174,370 % (air:tepung singkong termodifikasi = 4:1; dan tepung pre-gelatinisasi:tepung sukun = 10:12).
Kata kunci: air, tepung singkong, tepung sukun, cooking quality
",Teknologi Industri Pertanian
PENGENDALIAN PERSEDIAAN BAHAN BAKU DENGAN METODE  SILVER MEAL (STUDI KASUS DI UD. BUDI JAYA), WAHIDIYAH NUR MUZAMMAH," BURHAN, STP.MT","MILLATUL ULYA, STP.MT","Pengendalian persediaan bahan baku adalah aspek penting untuk menjamin ketersediaan bahan baku. Salah satu ukuran kinerja pengendalian persediaan bahan baku adalah minimasi biaya. Penelitian ini dilakukan untuk menentukan pengendalian persediaaan bahan baku yang lebih ekonomis antara metode UD. Budi Jaya dan Siver Meal (SM). Perhitungan total biaya persediaan dilakukan pada salak dengan mempertimbangkan biaya pembelian, biaya pemesanan dan biaya penyimpanan. Data yang digunakan untuk menghitung total biaya persediaan diperoleh dari data permintaan produk UD. Budi Jaya yang diramalkan menggunakan Moving Average (MA) dan diterjemahkan berdasarkan  struktur produk untuk mengetahui kebutuhan bahan baku. Total biaya persediaan metode perusahaan dan metode SM sebesar Rp.3.470.779 dan Rp.2.854.939. Metode SM menghasilkan total biaya persediaan yang lebih rendah dibanding dengan metode UD. Budi Jaya. Penghematan yang dapat dihasilkan oleh metode SM adalah sebesar Rp.615.840 atau 17,74%. 
Kata kunci: Pengendalian Persediaan Bahan Baku, Silver Meal 

",Teknologi Industri Pertanian
"KARAKTERISTIK TEKSTURAL MI LABU KUNING (Cucurbita moschata, ex Poir) DENGAN TEPUNG TAPIOKA SEBAGAI AGEN PEMBENTUK TEKSTUR", Nurlita Febriyan Zeni, Dr. Umi Purwandari,"Cahyo Indarto, STP,. MP","Mi merupakan makanan yang sangat populer di berbagai negara. Di Indonesia konsumsi mi pada tahun 1995 mencapai 3.554,5 juta per bungkus pada awal tahun 2000 hingga sekarang konsumsi mi terus meningkat mencapai 15% per tahun. Tujuan penelitian ini menentukan mi labu kuning yang memiliki sifat tekstural terbaik di antara perlakuan-perlakuan yang dikaji. Faktor dalam penelitian ini adalah proporsi tepung labu kuning dan tepung tapioka serta konsentrasi air. Proporsi tepung tapioka dan tepung tepung labu kuning yang digunakan adalah 5:7; 5:8; 5:9; 5:10; 5:11; 5:12 serta konsentrasi air yang dipakai adalah  10, 9 dan 8 bagian.  Penelitian ini diuji tingkat tekstural hardness, adhesiveness dan elongasi pada mi labu kuning menggunakan Texture Analyzer. Rancangan percobaan menggunakan rancangan acak lengkap faktorial. Kekerasan (hardness) mi berkisar antara 2,237 x103 g pada formulasi 5:9:10 hingga 4,954 x103 g pada formulasi 5:9:8, pengaruh proporsi tepung taipoka dan tepung labu kuning terhadap air dalam pembentukan sifat hardness tidak berpengaruh nyata. Kelengketan (adhesiveness) mi berkisar antara -351,419 g pada formulasi 5:7:9 hingga -158,058 g pada formulasi 5:8:10, pengaruh proporsi tepung labu kuning terhadap air dalam pembentukan sifat adhesiveness berpengaruh nyata. Pada tingkat elongasi mi labu kuning menggunakan formulasi 5:9:10 dengan nilai 191,70%. Formulasi terbaik pada pengujian sifat tekstural dan sensoris yaitu 5:9:10.",Teknologi Industri Pertanian
Analisis Sifat Sensoris dan Cooking Quality Mi Bebas Gluten dengan Menggunakan Labu Kuning (Cucurbita moschata), Nurmalisa Lisdayana," Supriyanto, STP., MP","Ir. Umi Purwandari, M.App.Sc., Ph.D","Meningkatnya konsumsi mi di Indonesia menyebabkan banyaknya pengkajian bahan baku alternatif selain tepung terigu, salah satunya adalah tepung labu kuning. Penelitian ini mengkaji tentang pengaruh proporsi tepung labu kuning dan tepung tapioka, serta pengaruh air terhadap cooking quality dan sifat sensoris mi labu kuning. Variasi proporsi tepung tapioka, tepung labu kuning, dan air adalah5:7:10, 5:8:10, 5:9:10, 5:10:10, 5:11:10, 5:12:10, 5:7:9, 5:8:9, 5:9:9, 5:10:9, 5:11:9, 5:12:9, 5:7:8, 5:8:8, 5:9:8, 5:10:8, 5:11:8, dan 5:12:8. Rancangan yang digunakan adalah Rancangan Acak Lengkap Faktorial dengan menggunakan 2 faktor, faktor pertama adalah proporsi tepung labu kuning dengan tepung tapioka, sedangkan faktor yang kedua adalah jumlah air. Analisis cooking quality pada mi labu kuning menggunakan analisis variansi dengan taraf beda nyata 5% (p=0,05). Pengujian sifat sensoris sensoris dilakukan dengan uji hedonik menggunakan 30 panelis tidak terlatih terhadap kesukaan pada warna, aroma, rasa, tekstur di mulut, dan kesukaan keseluruhan pada mi labu kuning yang juga menggunakan analisis variansi dengan taraf beda nyata 5% (p=0,05).  Penentuan  bobot tiap faktor pada sifat sensoris dalam menentukan kesukaan keseluruhan pada mi dikaji dengan menggunakan Partial Least Square Regression (PLSR). Hasil menunjukkan bahwa semakin banyak proporsi tepung labu kuning maka semakin lama waktu masak mi labu kuning dan semakin tinggi cooking loss. Cooking loss pada mi labu kuning termasuk tinggi dibandingkan dengan cooking loss mi kering terigu yang ada di pasaran. Analisis sensoris mi labu kuning menunjukkan bahwami labu kuning yang paling baik nilai kesukaannya adalah mi labu kuning yang memiliki proporsi tepung tapioka, tepung labu kuning, dan air 5:9:10. Sedangkan analisa mutu sensoris berdasarkan Partial Least Square menunjukkan bahwa kesukaan keseluruhan pada mi labu kuning ditentukan oleh faktor kesukaan warna dengan persamaan : Kesukaan keseluruhan = 0,360 + 0,322 (warna) + 0,305 (aroma) + 0,241 (rasa) + 0,068 (tekstur di mulut).",Teknologi Industri Pertanian
